id,marketoGUID,leadId,activityDate,activityTypeId,campaignId,primaryAttributeValueId,primaryAttributeValue,activityTypeDesc,segment,created_at,Bot Activity Pattern,Browser,Campaign Run ID,Choice Number,Device,Is Bot Activity,Is Mobile Device,Link,Platform,Step ID,User Agent,Campaign
"2022577678","2022577678","5425542","2024-11-06T00:00:17Z","10","10680","23978","2024-11-05 MZ Newsletter.2024-11-05 MZ Newsletter","Email Open","Other Segment","2024-11-09T23:22:48.595Z","N/A","Default Browser","20310","21066","Unknown","undefined","undefined","Unknown","13404","Mozilla/5.0","Email Batch Program-8508-send-email-campaign"
"2022577679","2022577679","3515465","2024-11-06T00:00:22Z","10","10680","23978","2024-11-05 MZ Newsletter.2024-11-05 MZ Newsletter","Email Open","Other Segment","2024-11-09T23:22:48.595Z","N/A","Default Browser","20310","21066","Unknown","undefined","undefined","Unknown","13404","Mozilla/5.0","Email Batch Program-8508-send-email-campaign"
"2022577680","2022577680","3433811","2024-11-06T00:00:21Z","10","10680","23978","2024-11-05 MZ Newsletter.2024-11-05 MZ Newsletter","Email Open","Other Segment","2024-11-09T23:22:48.595Z","N/A","Yahoo MailProxy","20310","21066","Unknown","undefined","undefined","Unknown","13404","YahooMailProxy; https://help.yahoo.com/kb/yahoo-mail-proxy-SLN28749.html","Email Batch Program-8508-send-email-campaign"
"2022577681","2022577681","6141505","2024-11-06T00:00:21Z","10","10680","23978","2024-11-05 MZ Newsletter.2024-11-05 MZ Newsletter","Email Open","Other Segment","2024-11-09T23:22:48.595Z","N/A","Default Browser","20310","21066","Unknown","undefined","undefined","Unknown","13404","Mozilla/5.0","Email Batch Program-8508-send-email-campaign"
"2022577682","2022577682","4182118","2024-11-06T00:00:21Z","10","10680","23978","2024-11-05 MZ Newsletter.2024-11-05 MZ Newsletter","Email Open","Other Segment","2024-11-09T23:22:48.595Z","N/A","Default Browser","20310","21066","Unknown","undefined","undefined","Unknown","13404","Mozilla/5.0","Email Batch Program-8508-send-email-campaign"
"2022577683","2022577683","6021939","2024-11-06T00:00:27Z","10","10680","23978","2024-11-05 MZ Newsletter.2024-11-05 MZ Newsletter","Email Open","Other Segment","2024-11-09T23:22:48.595Z","N/A","Default Browser","20310","21066","Unknown","undefined","undefined","Unknown","13404","Mozilla/5.0","Email Batch Program-8508-send-email-campaign"
"2022577684","2022577684","2445411","2024-11-06T00:00:27Z","10","10680","23978","2024-11-05 MZ Newsletter.2024-11-05 MZ Newsletter","Email Open","Other Segment","2024-11-09T23:22:48.595Z","N/A","Default Browser","20310","21066","Unknown","undefined","undefined","Unknown","13404","Mozilla/5.0","Email Batch Program-8508-send-email-campaign"
"2022577685","2022577685","3962011","2024-11-06T00:00:29Z","10","10680","23978","2024-11-05 MZ Newsletter.2024-11-05 MZ Newsletter","Email Open","Other Segment","2024-11-09T23:22:48.595Z","N/A","Google Mail","20310","21066","Unknown","undefined","undefined","Unknown","13404","Mozilla/5.0 (Windows NT 5.1; rv:11.0) Gecko Firefox/11.0 (via ggpht.com GoogleImageProxy)","Email Batch Program-8508-send-email-campaign"
"2022577686","2022577686","6074290","2024-11-06T00:00:29Z","10","10680","23978","2024-11-05 MZ Newsletter.2024-11-05 MZ Newsletter","Email Open","Other Segment","2024-11-09T23:22:48.595Z","N/A","Default Browser","20310","21066","Unknown","undefined","undefined","Unknown","13404","Mozilla/5.0","Email Batch Program-8508-send-email-campaign"
"2022577687","2022577687","6095367","2024-11-06T00:00:30Z","10","10680","23978","2024-11-05 MZ Newsletter.2024-11-05 MZ Newsletter","Email Open","Other Segment","2024-11-09T23:22:48.595Z","N/A","Outlook","20310","21066","Windows Desktop","undefined","undefined","Win8","13404","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; Microsoft Outlook 14.0.7268; ms-office; MSOffice 14)","Email Batch Program-8508-send-email-campaign"
